"variable","importance"
"che",0.0577369500242445
"rad",0.0353549354796647
"lung",0.0149185389381905
"site",0.0135670283652229
"sur",0.0130751564171277
"n",0.00724089707376347
"age",0.00518205152982659
"t",0.00333386105150119
"bone",0.00268027148935656
"brain",0.00135237803982031
"marital",0.000821033035471204
"sex",-0.000255409741430451
"liver",-0.000295934581023423
"race",-0.00146167257334209
"grade",-0.00260636278254664
