name,GSM1620822,GSM1620823,GSM1620824,GSM1620819,GSM1620820,GSM1620821,GSM1620912,GSM1620913,GSM1620914,GSM1620915,GSM1620916,GSM1620917
BRCC3,5.007699,5.050727,5.044233,4.875415,4.713868,4.840637,5.461547,7.400391,6.996666,5.592855,4.930714,6.013631
OR2B6,7.253104,7.929682,7.87253,7.236779,8.735499,7.284409,5.817349,6.548979,5.344423,5.797224,6.961807,5.336849
RP3-406P24.1,2.986121,2.998259,2.849445,3.099315,3.340195,2.829347,3.984227,6.942484,3.740674,3.244539,3.149849,3.72221
OR7E19P,5.846456,6.004987,5.789641,6.15208,5.858348,5.669378,5.943612,4.765006,5.950101,6.673131,5.992438,5.94814
ATXN3L,5.157824,4.436917,5.272756,4.243044,4.896247,4.808328,4.621379,6.368574,6.381577,4.695031,4.622967,5.359424
GS1-600G8.3,4.463443,2.469244,3.28032,2.863407,2.71187,2.747,5.64355,5.470489,2.960853,3.138311,3.044882,3.316118
GOT2P1,3.865415,3.396794,3.435552,3.952115,4.185876,3.201162,6.209614,6.376986,5.419051,3.49892,3.815277,3.41803
RP4-710M16.1,3.355319,3.135962,3.361303,2.910176,2.986241,2.957385,3.433891,5.907465,3.589069,3.084488,3.29802,3.629121
HMGB3P1,6.655664,6.366863,6.203216,6.703083,6.746599,6.594762,7.270734,7.330899,6.91361,7.64747,6.50585,7.416167
TBC1D22B,6.468132,5.642549,5.660087,5.88788,6.775747,6.201762,5.321445,7.212827,7.937006,6.55945,5.530143,6.374895
KIR2DS4,3.393759,4.588992,3.685234,3.590237,3.675037,3.543884,7.444113,5.333654,3.862412,4.145224,3.453331,3.877194
LOC102724905,4.088197,4.208625,4.447422,3.891878,4.188281,3.93556,5.560495,5.372665,4.321774,4.307942,3.845928,4.771043
SUMO1P2,4.775644,4.610153,4.164489,4.065094,4.444703,4.566421,4.640148,4.331746,4.450778,5.100493,3.968762,4.830286
HNRNPA1P3,5.511381,5.103001,5.327864,5.526932,5.85469,5.511451,6.121287,5.409607,6.652932,6.319915,5.499894,6.362091
SOX5P,11.674805,11.383458,11.617785,11.731409,11.685823,12.033332,9.369835,10.005332,11.65948,12.028902,11.839843,11.956296
SRMP1,4.040182,4.057528,3.770192,4.032748,3.83342,4.768628,5.955125,6.183802,4.208303,4.396694,4.005554,4.051747
AC003989.4,6.217317,5.693698,5.741888,5.597214,5.821579,5.536342,8.125804,6.135516,6.00691,5.709683,5.973616,6.04254
RP4-781L3.1,5.275951,4.508886,5.397817,5.206645,6.520527,4.508636,5.653334,6.345894,8.265193,5.658047,5.180997,6.158043
FABP3P2,9.926743,10.044405,10.117727,10.124058,10.221051,10.098622,10.854096,7.742452,10.689862,10.221301,9.756685,10.140757
RP4-595K12.1,4.250523,4.262326,4.622489,3.675532,5.198776,4.178648,6.455261,5.605792,7.793578,4.810521,4.528843,8.298245
FOXL1,12.14786,12.213158,12.108671,12.17847,12.254934,12.18112,11.507911,8.108929,11.862456,12.064937,12.019428,12.028663
